words,numbers
花,111
女,112
河,113
草,121
衣,122
高,123
关,131
友,132
想,133
吓,211
冬,212
到,213
最,221
种,222
球,223
耳,231
共,232
让,233
年,311
但,312
短,313
队,321
快,322
听,323
正,331
午,332
虫,333
