words,numbers
真,111
向,112
更,113
后,121
意,122
怕,123
瓜,131
童,132
美,133
晚,211
座,212
计,213
名,221
北,222
爱,223
位,231
点,232
香,233
练,311
会,312
雨,313
跑,321
地,322
姐,323
前,331
台,332
兴,333
